title,review,rating,date,app_version,reviewer
"Great app!","I love this app! It works perfectly and has all the features I need. Highly recommended!",5,2024-01-15,2.1.0,user123
"Needs improvement","The app crashes frequently when I try to upload photos. Please fix this bug.",2,2024-01-14,2.1.0,reviewer456
"Amazing experience","This is the best app I've ever used. The interface is clean and intuitive.",5,2024-01-13,2.0.9,happyuser
"Slow performance","The app is very slow to load. Takes forever to sync my data.",2,2024-01-12,2.0.9,impatientuser
"Love the new features","The latest update added some great new features. Keep up the good work!",4,2024-01-11,2.1.0,featurefan
"Can't login","I can't login to my account. The password reset doesn't work either.",1,2024-01-10,2.0.9,frustrated_user
"Perfect for my needs","Does exactly what I need it to do. Simple and effective.",4,2024-01-09,2.0.8,satisfied_customer
"Battery drain issue","The app drains my battery very quickly. Please optimize power usage.",3,2024-01-08,2.0.8,battery_conscious
"Excellent customer support","Had an issue and customer support resolved it quickly. Great service!",5,2024-01-07,2.0.7,grateful_user
"Missing key feature","The app is good but missing a key feature that competitors have.",3,2024-01-06,2.0.7,feature_requester
